id,type,name,total_miles,elevation_gain_ft,lat,lng,map.summary_polyline
8067470670,Hike,Last very dark pre-work hike for a while,5.33,1413.39,34.4641335401684,-119.712437745184,cljqEjltyU]k@MI}@wBc@sBo@y@WE[Tw@Rm@O}@b@QEK]?m@V_AFw@Cw@Oy@q@s@O?e@T]?mAe@AYf@mBA[]u@}@i@GU@o@EYa@k@o@[[uAUBk@XqAbAc@DEUBU\iAFeBIc@Ya@i@@QEEIBa@EO{@g@UYE[SUiAa@GK@MFG|@YPe@Ae@m@CKSBOl@}@?m@e@wA[g@Dm@AaAESQYYOu@B[k@w@?IYGaA_@QIKCe@Jk@?a@AYUy@Zw@m@iAAg@VOb@FHC^gBL]NGLNX~A`@dAJ@VSh@IDKIo@e@sACg@PeA`@uA`@oAVWTVTp@Fb@HFt@AFICWSGOSAKDIl@AZ_@PIpAHTN^pATh@fAp@JALMCF[SMSc@sBD]CSa@w@Ck@Hs@Gm@Pm@E]O]mA}@QSWgA[k@OaA_AbAe@Li@BgCtBs@`@Q?c@[k@OIS?U|@a@v@y@LU?]C_@g@mAMK]@OG}@}@@gBYmAJY@J@GGC@HCGBCBDE@?G?HCKLDCF?IALJCOLJ|@JBEd@@jAb@^T`@~@Nl@vBI`@u@p@ITu@PKT?Vp@Tv@`@pB{ARGBIl@g@VKf@A\Oh@m@P@Nl@Xl@^pAj@Xl@j@Vr@?NQh@Fl@Mj@@b@F\^h@?`APfARl@R@NPWJeAk@m@}AIe@YSe@Da@MOFW^QHi@CGJBH`@XFLARGD{@GKk@[{@MGSXg@vAW|@WnA@b@b@pAHr@EPc@B]VICEUW]KYMoASSSFc@`Co@CQJEXBRb@x@BXGFK?q@]UHH~@?^U|@@FVJDNC\Db@Ul@ATH^`@l@NlAFtAGVMDAHJLD^Z~@?TH`@ZPDJIT]DGTFRQr@@^x@`@T`@VP?\X?VPh@`B\Nx@t@P\DjAN\HKJiAb@s@lAk@l@HTp@AbBE`@a@`A?VDPZGf@i@l@_@z@_@PDJp@Ld@l@Vb@p@D^KTDXPTp@Xh@~@ARk@jBBZr@Xr@Hp@Y~@dAH~@Bn@CZ_@nABt@FXP@t@a@x@NpAi@PBv@x@^zBx@|ADTh@|@
8038897034,Hike,Post-dog vom bliss,8.91,1070.54,35.3501281142235,-120.631788354367,eowvEd|g_Vg@RId@DlASTo@H_@]G]ZoB@mAp@aAx@cCXAf@^p@IfDmHj@?`AhAfAO\sCnAKd@m@B_@g@yADWrAy@nB^V]f@}BlBO^q@A{BRWjBm@JWAe@z@qBp@g@bAfAfAGx@_AFu@d@eAtAwACHc@Wt@Ib@a@GNp@AdAh@j@^K@t@N`@Sl@aB?w@[eAD_@x@_AfBIXc@QuAeB}BJgAhAeBAu@Sy@QKFIDFMA`@Sr@KxArAp@FZ]NmBXe@XKfAV`@GRo@v@e@pA[xAO~@qC`CqAjA}A`A?\YFq@I]oBwAHwBe@oBP_BuAoANqAd@{@`@[Lk@hDkAjAcBdAi@pAmC|@gApCwAVDTZL|@Et@P~@dAb@v@w@~@_@r@mAjAgAlEmBjBEfAZ~@COFH@t@CzC]~Am@p@KRBzBaAz@GhB_AjBOf@u@ZsAjFmEzAgCpAaArAaChBIVRj@Gv@d@TKvAT~BqA^@BOhAR\?`Au@p@iADe@`@]Fm@TOmAiAcBw@w@uBq@g@Py@WcBP[b@GdChAWl@a@HEc@p@COTFQCMETUDAl@QFRJI`@PWQsAf@IELL[ETIGJHi@DZF^Q?UgCiAi@\?tBKLF^|@^l@tBtBfA`@t@Ex@a@j@c@rAsAlAeBUk@R{@t@mA\iFaAsARaC`DcAh@u@bBwCpCoBxAi@lBc@\iALmAn@mBVkBz@cE`AaAG_B^aE_@wALaBx@oAVu@r@mAnBcCzAi@Kc@o@HUCqAWaA]KcAVuBxAgBbDwA~@cA|AgDtAg@bAi@Ne@zAr@n@d@n@DXWdA`@hA?rCtBhBHd@Qn@a@Vw@Am@f@Kf@uAj@[TG\k@J[f@OxAOP_CTeAf@q@z@gBMg@r@IvA]b@m@C{AkA{@TETI?EI\r@BhAOn@_AnAC^hBlCPhAWn@uBDk@z@KXX~@AjAi@vAk@T}A}@yA]i@^Yl@uAdAWl@I`Aa@l@eAb@qAiAe@D}@bB]dB}Bx@If@FtA[p@iBTm@~BWZm@Fu@m@}Ax@Cj@VTPlAg@r@}AZWxBm@b@]?y@iAu@Aw@fCwAhCi@^kAWWR}@bCe@`@DxAW|ABd@p@Zf@SJg@Ow@Xa@
7997353889,Hike,One dark solo hike & a disco potato guide 🐕🥔✨,5.29,1422.24,34.4640219770372,-119.712350238115,_kjqEtltyUa@Ai@y@{@oBi@eCu@q@Y?YPq@Nm@O{@b@S@KqAPc@Lo@AaAOkAs@u@QAeAJeAWCQ^wBBk@c@o@m@QIKI_@AaAa@o@g@Wc@uAY?oAl@c@`@q@FGOLQ\gAB}AEs@WY{@IIu@iAw@Qk@OQiA]IM@KJKz@WRg@@SGSg@AOQBKj@{@Bm@Ki@UYa@eABi@Ce@DYI_@a@c@y@F]o@s@@KUAk@GWe@WGQAUP}@Ca@YgARYF_@g@kACWDSTIh@@\oB\WNNPxA`@|@NHd@SVCBSGu@Ws@Mu@J}@`@{A`@kAV]L@RVPl@@f@N@j@AJG?Uc@_@AQDEr@CT_@TIlAHTPh@dBTZ|@h@\OCFc@UQ[WuA?{@GOW[EYEc@Lm@Ei@Ns@AWM]g@k@s@e@W{@e@cAQu@YHSb@UPUHa@EQDs@t@iA|@{@l@iBy@CQH]z@e@f@g@R[BWG]e@kAMKk@IUc@k@[BeBQaADg@EJHKIC?J?GBBEE?H@KB@?J@GCJHGMLXxA?`BZXVb@NH`@@PP^z@Hb@C^m@n@Wb@S@c@PCb@DHxAp@d@U^UZa@VIn@q@h@WTBh@I\c@FQNGHB^nAR^XdAp@VNV\XN`@@LQv@Fh@Or@@h@f@|@@~@X|ALRXJ@JEJK@gAq@k@}AKc@KM}@CWGOHW`@MHm@ICFDRb@`@ANIJw@EYiAU_@GCY`@Q|@Sj@Uh@Kl@AbA^`AHt@GZe@@QVMAKY[]MuAWa@Wd@Mf@ATSf@q@IMHCZ`@z@Hj@Sl@Gg@c@YUBCRFV?x@Ut@BJRLD^Bn@Sp@@h@b@r@PfAFtAOr@d@dBDp@FPPFJNIR]BEXBPMn@?\v@f@^d@LP?VV@TLt@hBRF\^VLVb@HhAJ^JK^iB\_@hA[`@HVbAAhAQx@Sb@A`@FTb@Kv@s@dAo@T?FJJx@TZ^N`@n@F\Ej@FVv@\h@|@B`@Ol@Wh@EVDPXNz@NRAx@Qr@~@N`CO|@Qd@FjAhAa@v@H`@Gv@_@LDr@v@b@|Bz@nBPPXj@TD
7974224733,Hike,"Just a really wonderful, solid morning 🤌",11.04,3714.24,34.4616533350199,-119.711050037295,k}iqEdbtyUu@TuBjCkBXsB`CkAXgByD[{B_A{@sCVwA^GqAb@}ASeCu@u@wAT_Ac@VyADmA_BwAIeBkAcAc@_B}DvBGe@p@oC_@yBcCdAWpB{B~B_FYwAaBLv@Q@Cs@eAb@mEiB_@iB{@j@eBUUVQ[S^QWQn@o@RsCmAgB|BsA\e@vA_AXCbAa@b@NCW~@F|@WLUfBg@Z?x@u@JFToCdDaAdBPTw@v@UQTJSTSCT\Wc@?d@Q`@a@CGj@o@JRF}@`@HTk@BVPEh@MVQ?REE^u@VU~@mAGc@vAL@]`@k@RXE}@~@ETPBuFcAyBjCsCDHZ]tA{ATeAjBw@\_@rA\@FJGZ@_AFj@aASZ@g@|@_@GSt@]c@{@LW?w@a@eB^KSTI}@uAcAXi@o@c@JKw@[To@k@m@F[aAu@Y}EdAGU@Vq@NyBMu@u@sALGiAgAa@Oc@NQs@Ze@S?Yk@@Ck@q@AGa@j@]}@i@PsAoAMRmBz@wBAy@\LQf@BDJy@YRi@cE`@wJq@gBVwAIw@e@AGe@b@kA?eBn@]l@iCk@wCtA_EzAaBx@gDWeEf@aEmAaDg@S}Dr@o@jBiBNyAuCg@kG~@}@fDfAp@fAv@MZd@`@wAl@j@p@U~@gB`A@`CgAnDdAjAu@Zz@bBdA~@[r@aBx@GIpDh@Dl@|ApA`@l@~@R~@n@T`DSJg@rC@n@z@lBx@b@zDx@PrAGe@cBReBt@aB[iAk@OWu@\Uj@XHm@x@\h@sAzBkARyErA{AbBu@G|@dAMjByCr@Od@rA|CrB~DeA\a@nAT|@{AhAe@HpAd@\Up@XlGSz@LhF`BoAF{Af@gAnCKl@cA|AtADi@RBIv@ZvC`@@r@dApAJz@hFsAJjBl@qAAp@HnAnAbBe@g@lAm@RdB?_Bj@v@BV`@hCIj@g@?sAg@s@JuATpAtACAhAb@f@Gd@\d@Tz@Az@n@r@k@ROjCbARd@zAp@?f@jBdBdA`@pCn@kCvAk@j@JPh@GhBa@vAJbAdD_CZFJdA~A~AEnAfBrAe@pDhB^~@Wp@bADlCc@nAPrA~Ak@fCSx@dAP`BfAnCbA~@`B}@v@uAtAQjAaAbAcADe@~@O
7969318870,Walk,Pretty skies and swollen pinky toes,5.61,440.94,34.4205535948277,-119.896173002198,kxaqEboxzUOjAKTBPGt@GVAl@_@dC?ZIf@BLQ|@Cp@YnAKTa@zAm@rACRWf@IFAJa@x@?F]~@sA`Cw@~BmBzCERW`@kA`B[l@IXuAjBQb@]p@]\I\]h@B@IP@HYBOXWV@T_@R]n@KBAAXMKIE@C^ERYRKTa@\IX]l@UTAJKPe@d@y@rAOJa@x@c@j@MXBDMl@aAnBi@x@M^QLOd@uBxDYTWn@SRERS`@SVs@pAe@hAOCFBCAKNIZ_@h@AHm@v@ALWTEZc@|Au@tA_@pAs@bBk@l@YNST?GALYx@KLo@QQ_@KOQEAFWSM?FGBBGABFG?HAGCD@CBAEHDAEDBC?FECFNII?CH?IABF?I@FCCBBDCC?@?AFCCDCGHJj@TRb@TNBGVNl@_Bf@WTg@f@k@Xy@h@aA\_AdA_C`@w@d@m@v@_BFUJKRq@j@aAV_A^cATYB@EBVQFSP[\e@@E?OJMAWPUHCF_@Zc@h@uAT[j@e@BU\[Zq@ZS^_AZ]`@{@^g@H[r@eADMb@]DOZ]Po@ZUH_@B_@LBPOAEVO@QHWD?L]NCR]@[FI\GXYFOBUHC\m@^a@n@sAZSd@cAzAeCNOTu@^y@h@w@nAuCPW\cA\SNUAFFCEG`@cAVs@NMPcAHOPq@Xg@X{@j@aCEKLc@Ac@PmA?k@C?DU?m@Lg@Bk@l@kE?e@J{@C_@BW@_A\wCDu@LaALo@TuBNk@GANOC?R}@LY^iCb@gCb@iBbBgE|AsC@M`@_@BMTWAIXcAVi@X[V_AT]BWE?HDJSAEHCIGDa@L@ZUFQHGCEFICILQ@ScAMqARURQBCEy@B[Ge@?QG{B@y@JKIK?EIe@B_@IYYSKGO]][s@GEQe@i@}@Mi@Wi@Ce@EIFQAUWA]VQ@c@_@[CGc@MKIQESAa@Fu@LYp@MRM@GA}@DOGIAc@CAA[I]BSCe@FU?YEQ?g@GMMmAWeAE_@D}@FGVo@d@q@DW@c@Kg@@QEg@GWv@u@I[@o@OoANs@DKB[FIACTY?OLMXMBI@B@QLIJo@dAaAJSN[@]Ac@MWm@q@q@g@Uc@OK@KCESK[k@OkBDSEUBKEGAc@Qs@@UIg@ECAs@GIDOC_@
7962075848,Hike,Levi stick thwaps & one lean bean,5.63,1316.27,34.4638749584556,-119.712303634733,ijjqEfltyUYR]@[w@QKy@eBUkAAe@]q@c@Y]CEFF?Q?ORg@Js@Qs@\YBMwADYTUF}@MoBm@g@AQo@Ve@Dk@_@i@M?_@T_@Py@Eu@e@u@o@MKQDiAGS_@g@k@WMSWmASDQV_@L}@|@}@PIo@VYZeAKkAHG?QK[Ye@{@AEWJKCSmAo@]cAcASQQAW`AUZa@@o@OKc@FK[r@y@Bo@S}@s@iACYL[Ka@Di@K[a@W}@HEk@KMq@R[mBg@OGg@Pi@@o@Qs@I?A_@HB?STWCUg@{@?a@ZUh@@b@}BRMNHL^FtAj@|@d@_@b@EDWy@wBAo@TgAVc@f@uBZYLBb@pBl@DXEFSGOk@WFYl@Br@q@nAJRLn@|BlAr@NA@O]EOWIi@DA]qADg@_@q@Kk@Ry@Gy@LSBOGCHI_@o@eAs@[]Iw@c@u@Uw@UHi@v@kAFwCjCs@T@I?LBIGDc@e@k@KIUBYr@]v@q@Vk@?[m@cB}@KSc@k@c@HgBKg@MOCYPMCJ@SIBANBOAJD@AGF@KCDIALIEFIHDANCM@NO@P`ALL?tBFLVDb@f@j@Ff@dAJn@Gb@SXu@r@s@RGTDPd@HXN\`@NAbAu@n@o@NCr@u@xAOJIG?JSPEDWJDt@dBVjAp@Rl@n@Vl@AVSp@H\Op@Dt@RRPXA`AJ`@AKGDFAEDFFHv@r@p@YRS[u@YS[Ag@Qk@Wa@cBIKLO^{@?CNFPh@HHVWT}@?IOG}@[k@MCi@tAe@bBSfAJ|@d@t@B|@ELg@@a@ZKAIc@Ya@EoA]c@SVBLi@jBq@ESP@`@j@n@D^]t@ZhAOzABd@HL`@?JtAJRN@\SRP?TLLPDj@Ob@l@B^Kf@LVGl@\t@`@p@@dAs@lAHPx@?I?Db@Yt@}@NGVz@Rl@`@Np@hAp@FNCn@v@GNHTz@Ep@Dd@Ed@a@lAATNZVGVo@^If@k@b@SXBZvAj@Pd@r@AvALPl@Jh@x@Fj@k@jBFZfB^l@UPFh@x@NjBEp@a@fANlAP@T]j@Sd@\|Aq@N@|@lAVhBbA~BJ@CCFJAJ\d@^A
7925911649,Hike,Hard to be a TunaB,6.53,1390.42,34.4531853497028,-119.590723961592,ekhqEbu|xUCE?N[ZU?s@j@]Li@FYPyADWJGGCr@OCWKJNIHyALM\WH]SNq@M}@Ua@sDcDTq@`@M^Av@THI~@Pj@|@HIlAx@X@n@o@b@GXWBu@H_@t@WLeA\Ix@[LSQiAk@c@[aAAa@p@q@D[]s@KcA@L@M~@_Av@Eb@_@s@gAIc@Bu@Gy@c@_@CSBy@Ey@FoAbBa@bAk@vAFf@Vb@Bj@OR_@m@gAeAkAE{@FW`BeAVe@?Um@Sy@s@q@Mi@_AA]Zu@G_@S[uAw@MuAMWeAByBsDk@Mi@^c@zAYVSd@DEWGIUYUSAQL}@bDKv@u@Xm@f@e@bAQnAu@bAmAV[`BFCEEBFEEITm@Am@Y]Ba@f@yAJy@~@o@X?^Xt@Zb@ZLf@l@Xd@Lh@Oh@UPy@|AIf@w@^CVAt@J`AOXoBdAm@j@[F_@Wm@gAc@Yy@_@s@Go@c@_@@ErCI`@m@NBBKP_@Ri@j@@n@YtAkABgA}@UEm@RB\UPk@@cAz@yA\g@d@oAPu@l@_@IWi@k@M}AJUH{AeAsBHo@SWc@EWBgAKiACgADg@DLBKI@HCMgA?cBc@]WFYGi@m@W@UZj@bAKfAy@bASd@QLq@Kg@@QNVn@Al@JZ@lAILNrAMf@BFw@F[Qq@Iu@LATRTL|@Mf@]l@BjAk@v@a@NQj@WLi@CIZB~@Q`@gBbAMVC\z@Xf@d@Vl@@r@VJTQHY?LTKONCMLAIHCQTEXc@XKX]N_AVe@vAOr@Y_A@GIc@EcBBAWPKJFF[jBEh@_@`ACVBTZDZVTBIW[Q}Cb@OXSKC?MXE`AmBd@UdAKDGQDGIBOL@LUXBPZFEh@VnA~@rANd@RbBh@NGU?h@PJTJHNSDZ[d@VCARNZEETU\RrBo@LQD@OJl@LFWb@Sp@d@`@AFQLHnAAb@UELVEALd@UJLv@DFLHS`@FEUHI?QLCMJCIBQjAIDS\ZFGVJPGHUTHf@GdAp@VAHKHPtBRj@d@|BJ^ZdFd@CFVLZIDQ?g@PMHo@P]Ca@NJHRtAUDSIPD@JSJNAp@|@h@fB`BVl@Lx@Mv@JN`Ak@?Ml@k@CD^VJGMQj@L@]HOrAAd@U|A]DDx@i@~@u@lCaADMFE
7896606178,Hike,"What the heck Mother Nature, u beautiful as helllllll",19.61,4032.48,34.5574375335127,-119.771277280524,gx|qEjx_zU_H_BqD_FyEWwA{@oBXHgDaEuDoAaD_@wFdA{E{@eFmAL@wAyFsDb@yDm@sCwAeBDaBgAkAoC]sDsKeDb@gEm@qA`B}B{DeCaAqANyAeAqAfBw@wAn@cAgBXKdAk@eBc@hAu@cHmAQeCdC}@AsA{@FoA{BfBc@k@UgBgCx@yDmCe@kBoAA{B_BuAeFw@q@wBzB_BwCiAqAgBw@cFr@w@yENaBy@c@GwBn@}BtAcA}AkF}CkBqByHgDaAjAG^cBq@|@}CWeEfE_Dp@}E}@Uj@n@fFOnC}CPaA|@k@c@z@e@mAq@{EaA_@rAj@vEYlBgDoDeC]UxBcCr@a@jBkAVKnEq@dA{GCuDpAdBrF@`Fg@rBcExEDpY_CrGJxGo@fCp@xFPlA`@Uk@a@}@oGp@sCIsG~BuGBeMaAyI\mCdA_B_Ad@~@}BoAv@Nk@c@Va@y@oBkIwCsKhC?vCcMsC~LwCKcA}BSsIJlAu@@r@PTpCwBfALqA}CsBsA}JXu@AfCr@IEzAu@`@b@?|@hFbFLU}AwBaAy@wD~EeI~@uHQgC~GaPg@qChCy@`CiFhDaCf@{BbB{@T{@s@yCrCiB{@S`Fl@dEcHSkAiAc@iInCmAuD`C|A~KmKdHaMvDpAvC}@cAmAqBRs@oBdDaU]_L~AqBz@uDhCyCxAfAGxB}BvEk@jEb@`Gv@bF|@mAdCgHzEDrBsAhFuQq@oDfBgFzC_AnCcFbFaFX|AYfCcFzCk@xAZdCBbHa@dCuExCl@pGf@rC~BbDkAeDR{Ai@uFnGkBB`@eEhB~AjDDlBhEYm@|BlB`@nC]fA`AhBa@A~Cr@vAO|CrAxDhCzBjGeBbDhAtCpJMxLs@|ApAbFxF}FbBiGdEpAx@vCxE~G`D^|BaA~@qBp@@o@bFh@rGx@r@HtBfAzAhFjBhA`FBjB}@hAKxBwAfCAdAlChBf@tClAtBvDLOf@iEf@lCfE^xC@zEw@pCfDdBLzCbA~B`Gp@t@uAvAtC{EvAqAu@cA^{@cAkDV{DsEKpB}DtAuBpCy@wASkA{@lFqDvCjAmEoAkAUoDaAx@qBk@qHdAxBrEUzJbAtBa@`AdBf@Zx@RjEc@f@@`Fq@b@DvBfFnAzBxDpA_BdEn@lDi@lDtKtC\`ArAA~AtA`Bn@pCe@xDxFlDA|AnAJt@nEaAvEZfFpAtDhEfESrCjB]bBlAdEAnBzAnAlC`H~A
7885230943,Hike,Light always shines on AP ✨,5.94,1340.55,34.4641971588135,-119.712210930884,okjqExltyUMBOg@EFI[SEUg@FAG@@Wi@gA_@uBe@i@]KyAn@i@W_Ap@QKQcA^yAHAAa@ScCu@g@c@Ps@?WQs@Q?]\e@P}@Gs@s@o@g@MIc@D{@a@o@s@g@[sA]FaAr@ER{Ab@Io@b@w@F_@@_C[i@aAA?s@KU_Aa@Ss@OOuAi@F_@p@@Z_@Hm@GYe@DMSD[f@e@Fu@Qq@q@iAE}Ce@[s@PSq@QKm@HQq@Ey@o@QAg@LkAQ_BXq@m@kA?]RMt@BD}@Ru@c@~Bo@OOP@f@b@XNf@In@UCALTg@?a@g@u@?i@POn@JJeATw@RSb@JDx@KDFb@d@b@?XNRCA^a@b@@FYQeAc@{@E]RkAXkAXa@Jy@`@ULB`@hBf@J^GFOm@k@BWd@Hp@s@dBH~@pChAl@NIEQe@U[oB?o@c@w@Ga@LiAEm@Pe@?Y}@oAu@_@gAmDW@Wd@_@XaA?g@r@}CnBFNIUCLLHk@i@N_@_@LCKFFg@ECk@hAm@r@y@@w@i@{Au@EeAgAEWH]IYD[SqALOB@ICCL?MDR?SIH@KH?AVBSGR?KD?KRLd@@lBLp@ZJd@p@Z?^V`@nAGn@eAnAy@H?x@x@N`@d@nBaB`@Mt@w@rAMf@{@XDhApDNPp@Lp@rAW|@Nd@Ux@Hv@b@h@?hAXtAVd@XLWNQY_Ae@}@eCm@A[Qa@LSf@q@IIHBTj@V@VWLy@E_@eBUMYb@BN}@vCQ`ADh@`@fAHdAMH_@IY\WQCa@Sk@QYAu@QQONm@rCc@[SHGh@b@f@F`@A^Wf@V|@?l@Or@Jn@d@BFfARd@p@S^|@n@Ob@`@H`@GZHn@Cv@t@bANv@It@k@|@FNr@CDTId@U\u@JOVDLn@Bl@d@Pt@^XZBT^Ed@FLjABNtCMv@FLSNSf@R`@`@o@\Cl@}@JFALDSv@SJlATXl@T^p@EpATTn@Lb@dAg@`DNPrAJp@YRBl@v@N~BIv@Wv@PnAVEd@k@v@ZnAe@UCr@Cp@p@`@dC\l@Pp@FKHJ?^RFBX^\
7866480824,Hike,Girl wants her beef 🐄,5,473.43,34.4587360136211,-119.290215885267,egiqE`abwUGZG@Q`@ADD@K?B@C?@D@GSh@WDEZZTd@f@d@DRZF@AEL^FDCJDJb@RhAz@pA\NRDRm@nEAjAMf@STSd@UXSHQE{@Ca@I]POXBZCZRRThAFNDBd@~AELu@r@?FNJ@Gd@ON@NJ?\FFGVJ^PV?TOT@@?NOd@?ZERq@z@M`@i@t@M\@VFLFn@J\`@h@@z@EdABb@\b@DAHJBJf@r@H^EPDh@CRFHAHKxADAC@Q~@D@Ch@EHQDGFYCKVJp@B\Mh@Dd@APFXj@d@Px@n@dABLBVCT]\E\DVb@b@JRB`@Zx@?RO`AD`@NTLB|@p@Hn@BrAFR\\J`Ab@h@J\AVIHUH]?KDKRET}@z@Mf@k@dEKdBCzBu@vCGb@E`AD^EDD?E?FREBRv@A\Wl@IHQp@CZB|@Ap@WRAFI@KRDv@JTXTTXI?FLC@BAEBD@EHDCAA?CAPUXIRET@ZFPTVb@NNIn@H\LLNFA|Ah@RPj@?VGNNL?`Ad@XPNXVH^MzEmE`@IDEG?@DGECF@B?GFC@B@EEC?BB@@IADBAE@BDAGC?BEECB[SKEMOMIEAFHUAiAXc@`@CTQ\g@?G^_@NAl@PxAo@Rc@VYJg@Vy@Jq@Ra@HCLFPADJn@UXPVTAHL@CNFDE??NCABEC??A@DD@?LPHJNd@SHMTMLUGU@EA@DGASDIKE@YFYP]AWM]GCEu@Pc@IOF]ACDc@BAEECo@KIESc@w@g@kAEW[q@q@]WSu@gAOs@BgADm@MkAKQKg@iBwCE_@IUE@?YE@CGGH@KBJEQBSEAESS_BL[BUJIFSFc@U{@CcAFYBuA^qATqABg@DQj@gABQ@QVI?y@DOE_ANa@LSJGJYD]CC@AE@HAE@BMCAFAAGPq@z@gBCCHQRUAMKIu@JEWRWl@IPYXy@Ag@GEBOCmBP]NLRM^g@Nq@lAoDZ}BFSJIBOZ]HWCIDA@OGGCWUe@Hs@Ca@GGSu@m@sCEGCBHBICBIADc@KsBaA}@LKGW@sATUGqA_BiB}Ai@WQQcAQQSYo@YUk@AQFECeBZFABFGDa@G[FEGeAIm@B[PU??O{@EK@_@f@QAYWKYmBo@OQ_Ak@CKOCKKMo@OOSGBDJ?CFCIu@WIW?QTYRy@`@o@
